Číslo SME ;Provozovatel ;Adresa;Město ;PSČ;Telefon;e-mail;Kraj;ORP;Kategorie vozidel ;Druh stanice 
120902;1H Holding s.r.o.;Široká 241/25;Říčany;25101;608555011;herman.MTS@seznam.cz;Středočeský kraj;Říčany;M1,N1;CNG,LPG,Vznětový motor,Zážehový motor
120903;E3F3 s.r.o.;Karla Lípy 1678;Brandýs nad Labem-Stará Bolesl;25001;733 110 430;info@cfz.cz;Středočeský kraj;Brandýs nad Labem-Stará Boleslav;C,M1,M2,M3,N1,N2,N3,T,Z;CNG,LNG,LPG,Vznětový motor,Zážehový motor
130101;VAZI s.r.o.;Vrbenská 1070/10;České Budějovice;37006;776756050;emisecb@email.cz;Jihočeský kraj;České Budějovice;C,M1,N1,T,Z;CNG,LPG,Vznětový motor,Zážehový motor
130102;PASS CB s.r.o.;Okružní 665;České Budějovice;37001;770198037;emise@passcb.cz;Jihočeský kraj;České Budějovice;C,M1,M2,M3,N1,N2,N3,T,Z;Vznětový motor,Zážehový motor
130601;Martin Čtvrtník;Vlkonice 147;Vacov;38486;723816475;martin.ctvrtnik@tiscali.cz;Jihočeský kraj;Vimperk;C,M1,M2,N1,N2,T;Vznětový motor,Zážehový motor
130701;STK VODŇANY s.r.o.;Stožická 840;Vodňany;389 01;383382522;stk@stkvodnany.cz;Jihočeský kraj;Vodňany;M1,N1;Vznětový motor,Zážehový motor
130801;Ing. Jindřich Kovač;Bežerovice 52;Bechyně;39165;602837333;autabechyne@seznam.cz;Jihočeský kraj;Tábor;C,M1,M2,N1,N2,N3,T,Z;LPG,Vznětový motor,Zážehový motor
130802;KAFKA TRANSPORT a.s.;Opařany 312;Opařany;39161;724375455;servis@kaftransport.cz;Jihočeský kraj;Tábor;C,M1,M2,M3,N1,N2,N3,T;Vznětový motor,Zážehový motor
140701;CAR KUNC s.r.o.;Tyršova 1062;Nýřany;33027;603898437;t.kunc@autokunc.cz;Plzeňský kraj;Nýřany;M1,N1,T;LPG,Vznětový motor,Zážehový motor
140702;AUTO HELUS s.r.o.;Ke Staré mašině 557;Kaznějov;33151;724993563;antos@autohelus.cz;Plzeňský kraj;Kralovice;C,M1,M2,M3,N1,N2,N3,T,Z;Vznětový motor,Zážehový motor
150701;TYREL SERVICES s.r.o.;5. května 352;Dobroměřice;44001;777353354;jiri.havelka@tyrel.cz;Ústecký kraj;Louny;C,M1,M2,N1,N2,N3,T;Vznětový motor,Zážehový motor
150801;AUTOSTENLLY s.r.o.;Tiskářská 7;Most;43401;604274022;emise@arealvelebudice.cz;Ústecký kraj;Most;M1,N1;CNG,LPG,Vznětový motor,Zážehový motor
150901;TOP CZECH PARTNERS TECHNOLOGY s.r.o.;Fišerova 76;Bílina;41801;777783950;info@tcp-technology.cz;Ústecký kraj;Bílina;C,M1,N1,T,Z;CNG,LPG,Vznětový motor,Zážehový motor
160101;Jan Valecký;Mikuláše Střely 459;Krucemburk;58266;777114994;valho@seznam.cz;Vysočina;Chotěboř;M1,M2,N1,N2;CNG,LPG,Vznětový motor,Zážehový motor
160301;STK EURO s.r.o.;Kunčí 55;Slatiňany;53821;420 725 511 934;stkeurosro@gmail.com;Pardubický kraj;Chrudim;C,T,Z;Vznětový motor,Zážehový motor
160501;AUTOOPRAVNA PEZA s.r.o.;Bílkova 271;Náchod-Staré Město nad Metují;54701;777193866;peza.nachod@seznam.cz;Královéhradecký kraj;Náchod;M1,N1;CNG,LNG,LPG,Vznětový motor,Zážehový motor
160601;RD MONTAGE s.r.o.;Dašická 1930;Pardubice;53003;608427427;rd-montage@seznam.cz;Pardubický kraj;Pardubice;C,M1,M2,M3,N1,N2,N3,T,Z;Vznětový motor,Zážehový motor
160701;""" PANAM "" , spol. s r.o.";Zdeňka Nejedlého 293;Dobruška;51801;4,20776E+11;autoservis@dobruska.cz;Královéhradecký kraj;Dobruška;M1,N1;Vznětový motor,Zážehový motor
160901;Suitta STK spol. s r.o.;Dimitrovova 1110/2;Svitavy;56802;461530531;tomas.kadlec@louda.cz;Pardubický kraj;Svitavy;M1,N1;CNG,LNG,LPG,Vznětový motor,Zážehový motor
160902;Michal Brenner;139;Moravská Třebová;57101;4,20603E+11;m.brenner@seznam.cz;Pardubický kraj;Moravská Třebová;M1,N1;CNG,LNG,LPG,Vznětový motor,Zážehový motor
161101;Michal Marek;Jamenská 782;Jablonné nad Orlicí;56164;605783170;ammarek@seznam.cz;Pardubický kraj;Žamberk;C,M1,M2,N1,N2,T,Z;CNG,LNG,LPG,Vznětový motor,Zážehový motor
170501;BC LOGISTICS s.r.o.;Moravní 1636;Otrokovice;76502;602419970;cuba@bcl.cz;Zlínský kraj;Otrokovice;C,M1,M2,M3,N1,N2,N3,T,Z;CNG,Vznětový motor,Zážehový motor
170502;ZLINER s.r.o.;třída Tomáše Bati;Zlín;76112;777736454;vodickam@zliner.cz;Zlínský kraj;Zlín;M1,M2,M3,N1,N2,N3,T;Vznětový motor,Zážehový motor
170503;Martin Polách;Študlov 172;Študlov;75612;736766633;martinpolach@seznam.cz;Zlínský kraj;Valašské Klobouky;M1,M2,N1,T;Vznětový motor,Zážehový motor
170504;TRUCK TRADE spol. s r. o.;Kvítkovická 1386;Napajedla;76361;577 110 921;lukas.dovrtel@email.cz;Zlínský kraj;Otrokovice;C,M1,M2,M3,N1,N2,N3,T,Z;Vznětový motor
170901;Pavel Franc;Hrubčice 284;Bedihošť;79821;773670557;franc.pavel.sme@seznam.cz;Olomoucký kraj;Prostějov;M1,N1;Vznětový motor,Zážehový motor
170902;complex services, s.r.o.;Dolní ev. č. 244;Prostějov;79601;725367501;igor.pospisil@email.cz;Olomoucký kraj;Prostějov;M1,N1;CNG,LPG,Vznětový motor,Zážehový motor
171001;TRADO-STK, s.r.o.;Průmyslová 154;Třebíč;67401;568833378;stk@trado.cz;Vysočina;Třebíč;C,M1,M2,M3,N1,N2,N3,T,Z;CNG,LNG,LPG,Vznětový motor,Zážehový motor
171101;Vít Bačák;Luční čtvrť 1867;Uherské Hradiště;68603;603236083;vit.bacak@seznam.cz;Zlínský kraj;Uherské Hradiště;M1,M2,M3,N1,N2,N3,T;LPG,Vznětový motor,Zážehový motor
171102;Agrotest Morava s.r.o.;52;Babice;68703;4,20733E+11;agrotestmorava@seznam.cz;Zlínský kraj;Uherské Hradiště;C,M1,M2,N1,N2,N3,T,Z;Vznětový motor,Zážehový motor
171201;AUTO SLAVKOV s.r.o.;Československé armády 2969;Slavkov u Brna;68401;777227767;autodilyslavkov@email.cz;Jihomoravský kraj;Slavkov u Brna;C,M1,M2,M3,N1,N2,N3,T,Z;CNG,LNG,LPG,Vznětový motor,Zážehový motor
171401;Mobilní emise s.r.o.;Jestřábec 2044;Velké Meziříčí;59401;724090655;svaton.jan@gmail.com;Vysočina;Velké Meziříčí;C,M1,N1,T,Z;CNG,LNG,LPG,Vznětový motor,Zážehový motor
180201;EMISE F-M s.r.o.;Podpuklí 2550;Frýdek-Místek;73801;420 734 263 141;lub.klosik@gmail.com;Moravskoslezský kraj;Frýdek-Místek;C,M1,M2,N1,N2,T;CNG,LPG,Vznětový motor,Zážehový motor
180202;SERVIS ZÁVODNÝ s.r.o.;Hodoňovice 252;Baška;73901;732979132;autoservis@zavodny.cz;Moravskoslezský kraj;Frýdek-Místek;M1,N1;CNG,LNG,LPG,Vznětový motor,Zážehový motor
180203;TRUCK TRADE spol. s r. o.;Místecká 920;Paskov;73921;420 547 103 611;servis@trucktrade.cz;Moravskoslezský kraj;Frýdek-Místek;C,M1,M2,M3,N1,N2,N3,T,Z;Vznětový motor
180401;BITTI GAS, s.r.o.;Hodslavice 34;Hodslavice;74271;608354435;bittigas.sme@seznam.cz;Moravskoslezský kraj;Nový Jičín;M1,N1,T;CNG,LPG,Vznětový motor,Zážehový motor
180402;STK RITZ s.r.o.;Palackého 2301/31;Nový Jičín;74101;603579530;info@stk-novyjicin.cz;Moravskoslezský kraj;Nový Jičín;C,M1,M2,N1,N2,T;CNG,LNG,LPG,Vznětový motor,Zážehový motor
180403;Martin Kania;Radotínská 1197/96;Bílovec;74301;777133699;kk-autodily@seznam.cz;Moravskoslezský kraj;Bílovec;C,M1,M2,N1,N2,N3,T;CNG,LPG,Vznětový motor,Zážehový motor
180404;AUTOKLEVER spol. s r.o.;Hřbitovní 996/5;Nový Jičín;74101;605206407;vladimir.kubesa@ptam.cz;Moravskoslezský kraj;Nový Jičín;C,M1,N1,T,Z;Vznětový motor,Zážehový motor
180501;Tachotek s.r.o.;Sobáčov 112;Mladeč;78321;4,20726E+11;j.papula@tachotek.cz;Olomoucký kraj;Litovel;C,M1,M2,M3,N1,N2,N3,T,Z;Vznětový motor,Zážehový motor
180601;René Jackovič;Vrablovec 406/115;Ludgeřovice;74714;774426822;jr.servis@seznam.cz;Moravskoslezský kraj;Hlučín;M1,M2,N1,N2;LPG,Vznětový motor,Zážehový motor
180701;STK JERZAN, s.r.o.;Linkova 1407/12;Ostrava;71600;777337444;stk3855@seznam.cz;Moravskoslezský kraj;Ostrava;M1,N1;CNG,LPG,Vznětový motor,Zážehový motor
180702;Petr Fojtík;Areál BIG CARS, Opavská 845;Ostrava;72100;724314655;info@emise-ostrava.cz;Moravskoslezský kraj;Ostrava;C,M1,M2,M3,N1,N2,N3,T,Z;CNG,LNG,LPG,Vznětový motor,Zážehový motor
180801;DEKRA CZ a.s.;9. května 2452/90B;Přerov;75002;4,20778E+11;plischke@motorexpert.cz;Olomoucký kraj;Přerov;M1,M2,M3,N1,N2,N3,T;LPG,Vznětový motor,Zážehový motor
180802;JANOŠEK servis s.r.o.;Staré Rybníky 3399;Přerov;75002;777825532;JanosekDusan@seznam.cz;Olomoucký kraj;Přerov;C,M1,M2,N1,N2,N3,T,Z;Vznětový motor,Zážehový motor
180803;Zbyněk Fišer;Polní 2818/7;Přerov;75002;608849377;zbynek.fiser@email.cz;Olomoucký kraj;Přerov;M1,N1;Vznětový motor,Zážehový motor
180804;ZedCarServis s.r.o.;Na Odpoledni 1042/19;Přerov;75002;420 723 623 406;zedek.karel@gmail.com ;Olomoucký kraj;Přerov;M1,N1;Vznětový motor,Zážehový motor
180805;TESTCAR s.r.o.;9. května 258;Přerov;75002;4,20606E+11;prerov@testcar.cz;Olomoucký kraj;Přerov;C,M1,M2,M3,N1,N2,N3,T,Z;CNG,LNG,LPG,Vznětový motor,Zážehový motor
180806;Autocentrum Přerov CZ  s.r.o.;Olomoucká 440/44;Přerov II-Předmostí;75124;420 581 211 223;jakub.sramek@autocentrumprerov.cz;Olomoucký kraj;Přerov;M1,N1;Vznětový motor,Zážehový motor
180901;FAST Integration, s.r.o.;Vikýřovická 1806;Šumperk;78701;724325139;emise@zsfast.cz;Olomoucký kraj;Šumperk;C,M1,M2,M3,N1,N2,N3,T,Z;CNG,Vznětový motor,Zážehový motor
260301;FM CARS LHOTA s.r.o.;Medunova 646;Slatiňany;53821;773883431;fmcars.lhota@gmail.com;Pardubický kraj;Chrudim;C,M1,N1,T;CNG,LPG,Vznětový motor,Zážehový motor
260601;Roman Tuček;Dražkovice 164;Pardubice;53333;728332113;tucek.radek@gmail.com;Pardubický kraj;Pardubice;C,M1,M2,N1,N2,N3,T;CNG,LNG,LPG,Vznětový motor,Zážehový motor
261101;Jindřich Dvořák;U Podhorky 2203;Česká Třebová;56002;777141178;servis@dvorak-auto.cz;Pardubický kraj;Česká Třebová;C,M1,N1,T,Z;CNG,LNG,LPG,Vznětový motor,Zážehový motor
271401;Martin Petr;Petrovická 1337;Nové Město na Moravě;59231;774734081;petr.miloslav@seznam.cz;Vysočina;Nové Město na Moravě;M1,N1;CNG,LPG,Vznětový motor,Zážehový motor
410108;DEKRA CZ a.s.;Türkova 1001;Praha;14900;267 913 838;karel.kopr@dekra.com;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410205;SERVIS Rejmon s.r.o.;Fričova 13;Praha;12000;222564116;fricova@autorejmon.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410303;AUTO JAROV, s.r.o.;Osiková 2;Praha;13000;251002227;emise@autojarov.cz ;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410402;TUkas a.s.;K Vltavě 1911/33;Praha 4;14300;220388821;servis.skoda2@tukas.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410405;BEN-CAR spol.s r.o.;Hornokrčská 2/1947;Praha;14000;261221992;info@bencar.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410408;Auto Palace Spořilov s.r.o.;Na Chodovci 2457/1;Praha;14100;731536228;hamrsmid.milan@autopalace.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410409;VALOUŠEK a. s.;Ke Stáčírně 2292/19;Praha;14900;4,20602E+11;jvalousek@ford-valousek.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410413;Společnost 3H s.r.o.;Na Křivině 1/371;Praha;14000;241730503;servis@3h.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410424;Jaroslav Halota;Za rybníčky 702;Praha;14900;244912324;autohallocar@centrum.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410429;FEDERAL CARS s.r.o.;Kloknerova 9;Praha;14800;244112424;infopraha@federalcars.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410432;Ing. Rudolf KROUTIL;Dobronická 635;Praha;14800;603866431;kroutilrudolf@centrum.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410433;PROFI AUTO SERVIS s.r.o.;Holušická 2253/1;Praha;14800;272934772;info@proautoservis.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410434;Jakub Šafář;Na Lysině 772/12;Praha;14700;261215153+605250756;autosr@seznam.cz;Hlavní město Praha;Hlavní město Praha;C,M1,M2,N1,N2,T,Z;Vznětový motor,Zážehový motor
410441;Střední škola automobilní a informatiky;Dobronická 1216/7;Praha 4;14800;242456193  602271930  60576552;zdenek.chvojka@skolahostivar.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410445;PRONTO STK s.r.o.;Ohradní 1575/56;Praha 4;14000;222564115;stkpraha@stkpraha.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410446;ESPM s.r.o.;Mezi vodami 1097/25;Praha;14300;725888170;info@stk-modrany.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410447;KTS servis s.r.o.;Pramenná ev. č. 3;Praha;14800;777786790;sekretariat@devap.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410514;Autosalon Klokočka Centrum a.s.;Borského 876;Praha;15200;251005202;tomas.moravec@klokocka.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410521;Střední průmyslová škola dopravní, a.s.;Plzeňská 1315/137 ;Praha;15000;778113179;trantina@sps-dopravni.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410529;auto emise s.r.o.;Ke Kotlářce 275/2;Praha;15000;602363343;info@autoemise.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410533;DĚDEK s.r.o.;K Třebonicům 100/34;Praha 5 - Řeporyje;15500;723904805;info@stk-diskard.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410534;Pavel MAIER;Podbělohorská 31a/190;Praha;15000;257 213 480;ludvik.r@fordmaier.cz ;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410542;Emil Frey ČR, s.r.o.;Pekařská 638;Praha;15500;255720111;emilfrey.prodej@emilfrey.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410543;Střední odborné učiliště, Praha - Radotín;Pod Klapicí 11/15;Praha;15380;257899901;sou@klapice.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410545;Auto Palace Butovice s.r.o.;Bucharova 1186/16;Praha;15500;251025251;info@apbutovice.cz;Hlavní město Praha;Hlavní město Praha;M1,N1;Vznětový motor,Zážehový motor
410546;Auto Fousek s.r.o.;K Havlínu 1209;Praha;15600;257922541;autofousek@atlas.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410549;Louda Auto a.s.;Helsinská 166/2;Praha;15500;225340444;richard.bratka.rrg@dealer.renault.cz;Hlavní město Praha;Hlavní město Praha;M1,N1;Vznětový motor,Zážehový motor
410550;AUTO FEMAT, s.r.o.;Výpadová 1559;Praha;15900;737 258 177;flegl@femat-auto.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410551;FEMAT Radotín s.r.o.;Vrážská 1562/24a;Praha;15300;242438910;servis@femat.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410553;Emise Ruzyně s.r.o.;Unhošťská 1102/30;Praha;16100;601163153;info@emise-ruzyne.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410602;Václav CAITHAML;Vokovická 7/81;Praha;16000;235351218;autoservisc@seznam.cz;Hlavní město Praha;Hlavní město Praha;M1,N1;Zážehový motor
410603;AUTODRUŽSTVO PODBABSKÁ;Pod Paťankou 217/1;Praha;16041;234700200;info@autopodbaba.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410610;Přerost a Švorc - auto, s.r.o.;Veleslavínská 39;Praha;16200;235362327;info@prerost-svorc.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410617;AutoFREIBERG spol. s r.o.;Radimova 39;Praha;16900;606 763 090;michal.dvorak@stkbrevnov.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410628;Letiště Praha, a. s.;Letiště Praha Jih, vjezd.brána č.1;Praha;16100;724 318 506;vaclav.buzek@prg.aero;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410629;NH  group  s.r.o.;Karlovarská 814;Praha;16100;725392611;info@stk-repy.cz;Hlavní město Praha;Hlavní město Praha;M1,N1;CNG,LPG,Vznětový motor,Zážehový motor
410701;HAVEX-auto s.r.o.;Jateční 41;Praha;17000;257 213 830;ph.servis@havex.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410703;AUTOSERVIS Veletržní, družstvo;Veletržní 39;Praha;17000;233377291;neuveden;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410706;Koloseum River, a.s.;Jankovcova 1535/2a;Praha;17000;778545253;jiri.zidon@autovars.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410801;CZ MARTIN Oil s.r.o.;Bešťákova 568/3a;Praha;18200;722003300;martinoil@martinoil.cz;Hlavní město Praha;Hlavní město Praha;C,M1,M2,N1,N2,T,Z;CNG,LPG,Vznětový motor,Zážehový motor
410806;Daniel Svoboda-Auto Svoboda s.r.o.;Sokolovská 162;Praha;18000;284 821 786;servis@autosvoboda.cz;Hlavní město Praha;Hlavní město Praha;M1,N1;Vznětový motor,Zážehový motor
410813;Jiří Málek;Kubišova 1243/57;Praha;18200;284681323;neuveden;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410816;Autokomplex Menčík a.s.;Korybutova 441/2;Praha;18600;224 813 339;recepce@autokomplex.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410817;HAVEX-auto s.r.o.;Lodžská 24a/814;Praha;18100;233 543 847;a;Hlavní město Praha;Hlavní město Praha;C,M1,N1,T,Z;Vznětový motor,Zážehový motor
410902;Karel Kroček KK SERVIS, s.r.o.;Poděbradská 106;Praha;19800;281 860 186;uher@kk-servis.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410906;JÍŠA s.r.o.;Kolčavka 1/68;Praha;19000;284820857;zakazky@jisa.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410907;Autoservis Mika s.r.o.;U mateřské školy 436/8;Praha;19000;603778700;automika@automika.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410908;DEKRA CZ a.s.;Spojovací 41/783;Praha;19000;284829315;stkspojovaci.cz@dekra.com;Hlavní město Praha;Hlavní město Praha;M1,M2,N1,N2;CNG,LNG,LPG,Vznětový motor,Zážehový motor
410910;Správa autoparků s.r.o.;Českobrodská 7/34;Praha;19000;777832832;info@iemise.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410911;Jan Holub;Lovosická 442;Praha;19000;602888055;autoholub@email.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410914;AUTO ELSO s.r.o.;Cukrovarská 900/10;Praha;19000;283 931 000;autoservis@auto-elso.cz;Hlavní město Praha;Hlavní město Praha;C,M1,N1,T,Z;Vznětový motor,Zážehový motor
410925;Malešická automobilová s.r.o.;Poděbradská 29;Praha 9;19000;267 180 282;office@autocorson.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410932;STROJSERVIS Praha, s.r.o.;Náchodská 30;Praha;19300;281 926 181;jelinek@strojservis.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410933;AUTO-BRANKA,spol. s r.o.;Prosecká 817/82;Praha;19000;255723307;praha.servis@autobranka.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410936;NEPTUN HARFA, s.r.o.;Na Harfě 929/14;Praha;19000;266 035 620;baez@neptun-harfa.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410943;Jiří Pelc;Náchodská 2465/83;Praha;19300;281 926 818;autopelc@autopelc.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410945;TÜV NORD Czech, s.r.o.;Skorkovská 1537;Praha;19800;281916100;stk-praha@tuev-nord.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410946;Jarmil Tesárek;Hloubětínská 28/5;Praha;19800;281864171;jarmiltesarek@seznam.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
410947;Libor Špaček;Jiřího ze Vtelna 1731/11;Praha;19000;776707758;libor.spacek@seznam.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
411001;Střední škola automobilní a informatiky;U Plynárny 99;Praha 10;10100;111;@;Hlavní město Praha;Hlavní město Praha;NULL;NULL
411002;Malešická automobilová s.r.o.;Černokostelecká 116;Praha;10800;267 180 282;office@autocorson.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
411003;AUTOCENTRUM Dojáček, spol. s r.o.;U Seřadiště 65/7;Praha;10100;603832258;sedivy@dojacek.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
411004;TUkas a.s.;K Hrušovu 344/6;Praha;10200;267 229 319;servis.skoda1@tukas.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
411005;STK PRAHA, společnost s ručením omezeným;Průběžná 2397/76;Praha;10031;274 812 572;stk@aboservis.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
411007;Zařízení služeb pro Ministerstvo vnitra;Přípotoční 300;Praha;10101;974844447;stk3118@seznam.cz;Hlavní město Praha;Hlavní město Praha;NULL;NULL
